"estrutura","num","complexo","operador","tipo","estrutura_maior","contrato","contrato_status","contrato_ativo","instalada","removida","vida_anos","lamina_m","lat","lon"
"A-AUX","2","10112","Bandon Oil and Gas, LP","FIXED","N","G03481","TERMIN","N","1978-01-01","2011-08-16","33.6","210","28.149868","-94.095937"
"A","1","10112","Bandon Oil and Gas, LP","FIXED","Y","G03481","TERMIN","N","1978-01-01","2011-08-16","33.6","210","28.150054","-94.094064"
"A","1","10124","Bandon Oil and Gas, LP","FIXED","Y","G02360","TERMIN","N","1979-01-01","2013-08-11","34.6","163","28.362643","-94.154778"
"A","1","10138","Bandon Oil and Gas, LP","FIXED","Y","G02359","TERMIN","N","1980-01-01","2021-10-08","41.8","165","28.35291238","-94.09681809"
"B","1","10224","Bandon Oil and Gas, LP","FIXED","Y","G02360","TERMIN","N","1981-01-01","2013-08-04","32.6","155","28.366054","-94.128285"
"A","1","24185","Bandon Oil and Gas, LP","WP","N","G10878","TERMIN","N","1995-01-01","2008-10-16","13.8","54","28.99935977","-89.48919485"
"A","1","29046","Bandon Oil and Gas, LP","FIXED","Y","G14348","TERMIN","N","1996-07-12","2011-09-09","15.2","270","28.12873","-93.09721414"
"A","1","831","Bandon Oil and Gas, LP","FIXED","N","G17815","TERMIN","N","2001-01-10","2011-08-19","10.6","260","28.14039738","-93.1519878"
"F","1","20562","Merit Energy Company, LLC","WP","N","G12355","PROD","S","1965-01-01","1999-11-28","34.9","101","28.582829","-91.275396"
"E","1","20589","Merit Energy Company, LLC","FIXED","Y","G12358","RELINQ","N","1966-01-01","1990-09-29","24.7","104","28.575954","-91.285258"
"D","1","21657","Merit Energy Company, LLC","FIXED","Y","G12355","PROD","S","1962-01-01","1982-12-31","21","100","28.580073","-91.262331"
"A","1","21981","Merit Energy Company, LLC","FIXED","Y","G02900","TERMIN","N","1976-01-01","2017-08-21","41.6","166","28.480822","-91.557537"
"CF","1","20136","Merit Energy Company, LLC","FIXED","Y","G01972","TERMIN","N","1972-01-01","2016-10-02","44.8","41","29.5081617","-92.8034972"
"B","1","20677","Merit Energy Company, LLC","FIXED","Y","G02039","TERMIN","N","1972-01-01","2011-10-16","39.8","164","28.479903","-92.637007"
"B-AUX1","2","20677","Merit Energy Company, LLC","FIXED","Y","G02039","TERMIN","N","1972-01-01","2008-08-11","36.6","164","28.479905","-92.63679"
"JB","1","22057","Merit Energy Company, LLC","WP","N","G03289","TERMIN","N","1977-01-01","2011-08-28","34.7","52","29.385936","-92.64749"
"JA","1","22125","Merit Energy Company, LLC","FIXED","Y","G03289","TERMIN","N","1978-01-01","2011-09-25","33.7","52","29.372713","-92.678896"
"JC","2","22125","Merit Energy Company, LLC","FIXED","Y","G03289","TERMIN","N","1984-01-01","2011-09-14","27.7","52","29.373552","-92.678869"
"CA WELL","1","22384","Merit Energy Company, LLC","WP","N","G02853","RELINQ","N","1980-01-01","2013-08-11","33.6","35","29.532129","-92.761493"
"A PROD","2","22384","Merit Energy Company, LLC","FIXED","Y","G02853","RELINQ","N","1978-01-01","2014-08-24","36.6","35","29.5315","-92.761745"
"B QUARTERS","3","22384","Merit Energy Company, LLC","FIXED","Y","G02853","RELINQ","N","1980-01-01","2013-08-06","33.6","35","29.531453","-92.761247"
"A","1","22659","Merit Energy Company, LLC","FIXED","Y","G04777","TERMIN","N","1984-01-01","2008-08-10","24.6","42","29.520973","-92.842301"
"CB","1","22830","Merit Energy Company, LLC","FIXED","N","G02853","RELINQ","N","1982-01-01","2013-08-04","31.6","40","29.54225","-92.766773"
"A","2","23326","Merit Energy Company, LLC","FIXED","Y","G08690","TERMIN","N","1988-01-01","2011-08-21","23.6","23","29.238666","-91.881296"
"B","1","23326","Merit Energy Company, LLC","WP","N","G08690","TERMIN","N","1988-01-01","2011-08-21","23.6","23","29.238539","-91.881455"
"10","1","23371","Merit Energy Company, LLC","CAIS","N","G02853","RELINQ","N","1990-01-01","2014-09-25","24.7","35","29.562142","-92.747344"
"11","1","23378","Merit Energy Company, LLC","CAIS","N","G02853","RELINQ","N","1990-01-01","2014-09-28","24.7","33","29.555781","-92.752683"
"B","1","23392","Merit Energy Company, LLC","CAIS","N","G05370","RELINQ","N","1991-01-01","2014-10-16","23.8","84","28.99631431","-92.7031709"
"A","1","23393","Merit Energy Company, LLC","FIXED","Y","G05370","RELINQ","N","1991-01-01","2014-09-17","23.7","84","28.975089","-92.720599"
"A","1","23687","Merit Energy Company, LLC","FIXED","Y","G08641","TERMIN","N","1988-01-01","2014-10-25","26.8","59","29.279776","-92.995708"
"A","1","10065","Merit Energy Company, LLC","FIXED","Y","G02426","TERMIN","N","1975-01-01","2013-09-03","38.7","225","28.103355","-93.916106"
"B","1","10118","Merit Energy Company, LLC","FIXED","Y","G26556","EXPIR","N","1978-01-01","2013-08-20","35.6","164","28.42779327","-93.81523907"
"B - AUX","2","10118","Merit Energy Company, LLC","FIXED","N","G26556","EXPIR","N","1978-01-01","2013-08-22","35.6","164","28.42776901","-93.81462057"
"A","1","10221","Merit Energy Company, LLC","FIXED","Y","G04078","TERMIN","N","1982-01-01","2010-06-19","28.5","36","29.478029","-93.796791"
"A","1","10535","Merit Energy Company, LLC","FIXED","Y","G09079","TERMIN","N","1991-01-01","2010-05-29","19.4","48","29.292663","-94.235032"
"A","1","10568","Merit Energy Company, LLC","FIXED","Y","G12497","TERMIN","N","1992-09-18","2016-08-01","23.9","62","28.964712","-94.908716"
"B","1","10575","Merit Energy Company, LLC","FIXED","N","G12497","TERMIN","N","1993-02-04","2016-08-04","23.5","68","28.957017","-94.910606"
"A","1","10586","Merit Energy Company, LLC","FIXED","Y","G11307","TERMIN","N","1993-09-27","2013-07-25","19.8","61","28.974615","-94.906692"
"A","1","10313","Merit Energy Company, LLC","FIXED","Y","G04536","TERMIN","N","1987-01-01","2010-07-07","23.5","207","27.316897","-96.737601"
"A","1","10344","Merit Energy Company, LLC","FIXED","Y","G07194","TERMIN","N","1989-01-01","2011-07-16","22.5","64","28.400292","-96.041952"
"A","1","10346","Merit Energy Company, LLC","FIXED","Y","G06045","RELINQ","N","1989-01-01","2008-09-29","19.7","104","28.022212","-96.307108"
"A","1","10354","Merit Energy Company, LLC","FIXED","Y","G10198","TERMIN","N","1990-01-01","2010-06-22","20.5","126","27.968817","-96.290907"
"B","1","10355","Merit Energy Company, LLC","FIXED","Y","G10198","TERMIN","N","1990-01-01","2008-10-02","18.8","126","27.994243","-96.259632"
"A","1","10362","Merit Energy Company, LLC","WP","Y","","","","1990-01-01","2012-07-23","22.6","120","27.28386406","-96.97971371"
"A","1","10377","Merit Energy Company, LLC","FIXED","Y","G08975","TERMIN","N","1992-01-01","2010-07-19","18.5","174","27.607381","-96.622365"
"A","1","10388","Merit Energy Company, LLC","FIXED","Y","G12421","TERMIN","N","1994-06-30","2012-07-29","18.1","88","27.337823","-97.113264"
"A","1","27029","Merit Energy Company, LLC","CAIS","N","G08640","TERMIN","N","1995-06-16","2014-08-31","19.2","55","29.31965653","-93.00493186"
"A-AUXILARY","2","27029","Merit Energy Company, LLC","WP","N","G08640","TERMIN","N","2002-09-22","2014-08-31","11.9","55","29.31972252","-93.00493296"
"B","1","28030","Merit Energy Company, LLC","WP","N","G04078","TERMIN","N","1995-01-01","2010-08-15","15.6","39","29.49083945","-93.80090611"
"#9","1","40013","Merit Energy Company, LLC","FIXED","N","G04078","TERMIN","N","1997-07-17","2010-05-25","12.9","27","29.46563159","-93.7917592"
"C","1","90025","Merit Energy Company, LLC","FIXED","N","G08640","TERMIN","N","1997-07-30","2014-09-03","17.1","55","29.28459079","-93.00466833"
"1","1","2","Merit Energy Company, LLC","CAIS","N","G14878","TERMIN","N","1998-01-05","2010-06-09","12.4","38","29.47490894","-93.81283095"
"B","1","231","Merit Energy Company, LLC","CAIS","N","G08641","TERMIN","N","1998-06-07","2015-08-17","17.2","58","29.27509865","-93.00172502"
"B","1","770","Merit Energy Company, LLC","FIXED","Y","G10203","TERMIN","N","2000-09-08","2010-07-25","9.9","151","27.91437882","-96.38716526"
"CAIS.#4","1","855","Merit Energy Company, LLC","CAIS","N","G08641","TERMIN","N","2001-02-22","2014-10-27","13.7","60","29.27135973","-93.0001009"
"4","1","894","Merit Energy Company, LLC","FIXED","N","G11307","TERMIN","N","2001-02-18","2013-07-18","12.4","64","28.9860966","-94.89018141"
"10","1","964","Merit Energy Company, LLC","CAIS","N","G04078","TERMIN","N","2001-06-29","2010-05-30","8.9","40","29.49434459","-93.79229799"
"A","1","927","Merit Energy Company, LLC","FIXED","N","G16365","TERMIN","N","2001-06-01","2009-08-16","8.2","202","28.37849","-91.76650667"
"3","1","886","Merit Energy Company, LLC","CAIS","N","G08690","TERMIN","N","2001-09-20","2011-08-19","9.9","23","29.2562156","-91.854788"
"A","1","1183","Merit Energy Company, LLC","FIXED","N","G24861","TERMIN","N","2002-10-21","2011-06-10","8.6","318","28.04048693","-92.48959669"
"3","1","813","Merit Energy Company, LLC","CAIS","N","G18936","TERMIN","N","2001-01-01","2011-07-20","10.5","45","29.29257727","-94.01157132"
"A","1","1289","Merit Energy Company, LLC","FIXED","N","G05171","TERMIN","N","2003-06-05","2010-06-14","7","126","27.9266266","-96.39069419"
"A","1","1642","Merit Energy Company, LLC","FIXED","Y","G22188","TERMIN","N","2005-03-20","2012-06-27","7.3","222","27.8269785","-96.08714846"
"12","1","1777","Merit Energy Company, LLC","CAIS","N","G02853","RELINQ","N","2005-11-25","2014-08-26","8.8","39","29.53422931","-92.74869504"
"C","1","1631","LLOG Exploration & Production Company, L.L.C.","FIXED","Y","G24419","TERMIN","N","2005-02-21","2010-10-13","5.6","176","28.39000485","-93.83726345"
"A","1","1627","LLOG Exploration Offshore, L.L.C.","FIXED","Y","G24710","TERMIN","N","2005-01-03","2024-10-10","19.8","40","29.55721255","-93.47185831"
"A","1","1581","LLOG Exploration Offshore, L.L.C.","FIXED","N","G22662","RELINQ","N","2005-02-16","2011-08-08","6.5","53","28.99283353","-91.78461085"
"A","1","1002","LLOG Exploration Offshore, L.L.C.","CAIS","Y","G21142","TERMIN","N","2001-12-06","2011-08-27","9.7","27","29.47961021","-88.99745804"
"B","1","1032","LLOG Exploration Offshore, L.L.C.","FIXED","Y","G01477","TERMIN","N","2001-09-10","2008-04-19","6.6","56","29.31314364","-92.95915124"
"A","1","1148","LLOG Exploration Offshore, L.L.C.","FIXED","N","","","","2002-07-01","2006-04-20","3.8","35","",""
"A","1","1299","LLOG Exploration Offshore, L.L.C.","WP","N","G21120","TERMIN","N","2003-09-09","2008-05-06","4.7","153","28.46448057","-90.31058597"
"A","1","1345","LLOG Exploration Offshore, L.L.C.","FIXED","Y","G23829","TERMIN","N","2003-11-08","2024-07-17","20.7","177","28.47095469","-92.17376207"
"A","1","1414","LLOG Exploration Offshore, L.L.C.","FIXED","Y","G24872","TERMIN","N","2004-01-15","2024-10-12","20.7","173","28.48817197","-92.15564301"
"A","1","1472","LLOG Exploration Offshore, L.L.C.","CAIS","N","G24895","EXPIR","N","2004-03-22","2008-10-22","4.6","42","29.00027069","-91.59512936"
"A","1","1464","LLOG Exploration Offshore, L.L.C.","FIXED","Y","G25561","TERMIN","N","2004-04-11","2025-09-17","21.4","54","29.19560862","-94.03749857"
"B","1","1486","LLOG Exploration Offshore, L.L.C.","FIXED","Y","G23829","TERMIN","N","2004-05-20","2023-07-08","19.1","176","28.47166493","-92.19541526"
"C","2","1486","LLOG Exploration Offshore, L.L.C.","FIXED","N","G23829","TERMIN","N","2008-12-15","2023-07-08","14.6","176","28.47172065","-92.19530683"
"C","1","1621","LLOG Exploration Offshore, L.L.C.","FIXED","Y","G25561","TERMIN","N","2005-03-28","2025-09-04","20.4","54","29.18422969","-94.048338"
"1","1","1694","LLOG Exploration Offshore, L.L.C.","CAIS","N","G26022","EXPIR","N","2005-05-01","2008-01-27","2.7","26","29.15160059","-91.54206543"
"A","1","1940","LLOG Exploration Offshore, L.L.C.","CAIS","Y","G27507","TERMIN","N","2008-01-01","2012-07-22","4.6","50","29.24203401","-94.34030448"
"E","1","2206","LLOG Exploration Offshore, L.L.C.","FIXED","N","G31435","TERMIN","N","2009-01-15","2025-10-29","16.8","56","29.54691907","-88.69008591"
"A","1","2135","LLOG Exploration Offshore, L.L.C.","WP","N","G25995","TERMIN","N","2008-02-16","2011-10-04","3.6","224","28.22848014","-92.60381671"
"A","1","2147","LLOG Exploration Offshore, L.L.C.","FIXED","Y","G24874","TERMIN","N","2008-04-12","2017-05-29","9.1","196","28.40245829","-91.85893999"
"D","1","2201","LLOG Exploration Offshore, L.L.C.","FIXED","Y","G31435","TERMIN","N","2008-07-31","2025-10-16","17.2","61","29.55450341","-88.68711419"
"A (Who Dat)","1","2424","LLOG Exploration Offshore, L.L.C.","SEMI","Y","G32334","PROD","S","2011-07-12","","","3280","28.41538737","-89.0162066"
"A (Salamanca)","1","2716","LLOG Exploration Offshore, L.L.C.","SEMI","N","","","","2025-07-17","","","6405","26.29753274","-92.52189556"
"S","1","20581","Arena Offshore, LP","FIXED","N","00461","UNIT","S","1968-01-01","2022-07-09","54.5","120","28.656824","-90.235532"
"J","1","20582","Arena Offshore, LP","FIXED","Y","00457","PROD","S","1969-01-01","2022-06-08","53.4","176","28.674878","-90.134791"
"C","1","20585","Arena Offshore, LP","FIXED","Y","00456","PROD","S","1961-01-01","2021-07-01","60.5","180","28.666384","-90.155878"
"R","1","20587","Arena Offshore, LP","FIXED","N","00498","UNIT","S","1967-01-01","","","112","28.667357","-90.245394"
"Q","1","20607","Arena Offshore, LP","FIXED","Y","00462","UNIT","S","1968-01-01","","","107","28.65776","-90.282151"
"E","2","20608","Arena Offshore, LP","FIXED","Y","00464","UNIT","S","1960-01-01","1994-05-09","34.4","137","28.618854","-90.242663"
"P","1","20608","Arena Offshore, LP","FIXED","Y","00464","UNIT","S","1967-01-01","","","137","28.618102","-90.242191"
"G","1","20618","Arena Offshore, LP","FIXED","Y","00463","UNIT","S","1961-01-01","2012-12-01","51.9","137","28.617183","-90.249361"
"PROD #1","2","20618","Arena Offshore, LP","FIXED","Y","00463","UNIT","S","1962-01-01","","","137","28.617186","-90.249673"
"PROD #2","3","20618","Arena Offshore, LP","FIXED","Y","00463","UNIT","S","1962-01-01","","","137","28.61718089","-90.24904998"
"G-CMP","4","20618","Arena Offshore, LP","FIXED","Y","00463","UNIT","S","1962-01-01","","","137","28.617458","-90.249359"
"G-QRT","5","20618","Arena Offshore, LP","FIXED","N","00463","UNIT","S","1962-01-01","","","137","28.616908","-90.249364"
"Y","6","20618","Arena Offshore, LP","FIXED","N","00463","UNIT","S","1988-01-01","","","137","28.616173","-90.249562"
"PRD Flare PL","7","20618","Arena Offshore, LP","FIXED","N","00463","UNIT","S","1962-01-01","1999-06-07","37.4","137","28.61745064","-90.24842387"
"D","1","20633","Arena Offshore, LP","FIXED","Y","00456","PROD","S","1962-01-01","2007-08-02","45.6","160","28.67493473","-90.1581666"
"D-QTR","2","20633","Arena Offshore, LP","FIXED","N","00456","PROD","S","1962-01-01","2018-10-02","56.8","160","28.67383752","-90.15786134"
"D-AUX2","3","20633","Arena Offshore, LP","FIXED","Y","00456","PROD","S","1962-01-01","2018-10-05","56.8","160","28.67312981","-90.15775109"
"D-CP","4","20633","Arena Offshore, LP","FIXED","Y","00456","PROD","S","1962-01-01","2018-10-06","56.8","160","28.67314424","-90.15691533"
"D-Flare","5","20633","Arena Offshore, LP","CAIS","N","00456","PROD","S","1963-01-01","2004-08-21","41.6","160","28.67206512","-90.157698"
"E","1","20652","Arena Offshore, LP","FIXED","Y","G01260","PROD","S","1967-01-01","","","141","28.509697","-90.380008"
"A","1","20719","Arena Offshore, LP","FIXED","Y","G01241","PROD","S","1973-01-01","","","61","28.86730191","-90.490613"
"CA","2","20719","Arena Offshore, LP","FIXED","Y","G01241","PROD","S","1973-01-01","","","61","28.866176","-90.489998"
"1","3","20719","Arena Offshore, LP","CAIS","N","G01241","PROD","S","1973-01-01","2009-08-23","36.6","61","28.867688","-90.489985"
"B-QTR","4","20719","Arena Offshore, LP","FIXED","N","G01241","PROD","S","1982-01-01","","","61","28.866929","-90.491206"
"C","5","20719","Arena Offshore, LP","FIXED","Y","G01241","PROD","S","1985-01-01","","","61","28.867854","-90.490958"
"3","1","20793","Arena Offshore, LP","CAIS","N","G01241","PROD","S","1972-01-01","","","50","28.858183","-90.495677"
"C","1","20957","Arena Offshore, LP","FIXED","Y","G01248","PROD","S","1973-01-01","","","125","28.580469","-90.392651"
"CB","1","21748","Arena Offshore, LP","FIXED","N","G01241","PROD","S","1975-01-01","","","60","28.848007","-90.490462"
"B","1","21885","Arena Offshore, LP","FIXED","Y","G02624","PROD","S","1976-01-01","","","57","28.933053","-90.41334"
"A","1","21897","Arena Offshore, LP","FIXED","Y","G02625","PROD","S","1975-01-01","","","57","28.92849","-90.353277"
"J","2","21897","Arena Offshore, LP","FIXED","Y","G02625","PROD","S","1998-07-15","","","57","28.9288092","-90.35262044"
"3","1","21933","Arena Offshore, LP","CAIS","N","G01240","PROD","S","1976-01-01","","","58","28.87424319","-90.49622507"
"A","1","21951","Arena Offshore, LP","FIXED","Y","G01960","TERMIN","N","1976-01-01","2023-07-02","47.5","111","28.59071","-90.395061"
"D","1","22007","Arena Offshore, LP","FIXED","Y","G03336","PROD","S","1977-01-01","","","54","28.938624","-90.435036"
"C","1","22025","Arena Offshore, LP","FIXED","Y","G02625","PROD","S","1977-01-01","","","52","28.943412","-90.335256"
"E","1","22122","Arena Offshore, LP","FIXED","Y","G03336","PROD","S","1978-01-01","","","52","28.923128","-90.432174"
"E-Flare Pile","2","22122","Arena Offshore, LP","CAIS","N","G03336","PROD","S","1978-01-01","1999-06-18","21.5","52","28.92395918","-90.43310426"
"G","1","22296","Arena Offshore, LP","FIXED","Y","G35951","TERMIN","N","1979-01-01","","","211","28.804811","-89.801788"
"W","1","22439","Arena Offshore, LP","FIXED","Y","00461","UNIT","S","1981-01-01","","","137","28.627159","-90.232977"
"B","1","22452","Arena Offshore, LP","FIXED","N","G01256","TERMIN","N","1980-01-01","2015-07-13","35.5","99","28.554432","-90.606784"
"C","1","22552","Arena Offshore, LP","FIXED","Y","G01256","TERMIN","N","1982-01-01","2014-11-02","32.8","108","28.531687","-90.604062"
"CC","1","22630","Arena Offshore, LP","FIXED","Y","G01240","PROD","S","1985-01-01","","","60","28.89774","-90.476513"
"9","2","22630","Arena Offshore, LP","WP","N","G01240","PROD","S","1985-01-01","2015-10-14","30.8","60","28.897775","-90.476509"
"CA","1","22651","Arena Offshore, LP","FIXED","Y","G01899","PROD","S","1981-01-01","","","143","28.501047","-90.380777"
"X","1","22711","Arena Offshore, LP","FIXED","Y","00498","UNIT","S","1982-01-01","","","101","28.676074","-90.268685"
"CA","1","22739","Arena Offshore, LP","FIXED","N","G03197","PROD","S","1981-01-01","","","142","29.462008","-88.649352"
"20","1","22839","Arena Offshore, LP","CAIS","N","G01241","PROD","S","1983-01-01","","","54","28.85863724","-90.48221127"
